cp,ne_lon,ne_lat,sw_lon,sw_lat
08339,41.6762617,2.5223578,41.3562617,2.2023578
08205,41.7002764,2.2553798,41.3802764,1.9353798
08390,41.6277714,2.4387653,41.3077714,2.1187653
08401,41.7663427,2.4462868,41.4463427,2.1262868
08348,41.6844286,2.5281749,41.3644286,2.2081749
08009,41.5547675,2.3293063,41.2347675,2.0093063
08250,41.902905,1.9639497,41.582905,1.6439497
08922,41.6092121,2.3713456,41.2892121,2.0513456
08392,41.7266999,2.6483747,41.4066999,2.3283747
08770,41.5711141,1.9475939,41.2511141,1.6275939
08232,41.7245114,2.1156269,41.4045114,1.7956269
08140,41.7919688,2.3266462,41.4719688,2.0066462
43005,41.2765132,1.4033765,40.9565132,1.0833765
43881,41.3566946,1.7882814,41.0366946,1.4682814
08291,41.6587366,2.3149191,41.3387366,1.9949191
08911,41.6131459,2.4131047,41.2931459,2.0931047
08204,41.6888631,2.2712089,41.3688631,1.9512089
08784,41.6856088,1.9017725,41.3656088,1.5817725
08226,41.736937,2.1823566,41.416937,1.8623566
08760,41.6362222,2.0844091,41.3162222,1.7644091
08105,41.674572,2.4000579,41.354572,2.0800579
08295,41.7151158,2.0483151,41.3951158,1.7283151
08180,41.969239,2.2587744,41.649239,1.9387744
08010,41.5515038,2.3346353,41.2315038,2.0146353
08530,41.8424594,2.4454553,41.5224594,2.1254553
08033,41.6135746,2.3436891,41.2935746,2.0236891
08370,41.7745739,2.8186847,41.4545739,2.4986847
08924,41.6203952,2.3632277,41.3003952,2.0432277
08120,41.6735579,2.3559623,41.3535579,2.0359623
08739,41.5610284,1.9597635,41.2410285,1.6397635
08430,41.7566708,2.4868345,41.4366708,2.1668345
08913,41.5987208,2.3783473,41.2787208,2.0583473
08918,41.5936198,2.3871391,41.2736198,2.0671391
17007,42.1568116,2.9786719,41.8368116,2.6586719
08620,41.5544764,2.1672856,41.2344764,1.8472856
43700,41.3766033,1.6939274,41.0566033,1.3739274
08174,41.6453345,2.2174833,41.3253345,1.8974833
08775,41.6068179,1.8888826,41.2868179,1.5688826
08907,41.5128987,2.2699632,41.1928987,1.9499632
08186,41.7737271,2.3868585,41.4537271,2.0668585
08480,41.8273705,2.4218723,41.5073705,2.1018723
08786,41.689805,1.8453456,41.369805,1.5253456
08600,42.2602278,2.0120744,41.9402278,1.6920744
08415,41.8340961,2.3668907,41.5140961,2.0468907
08328,41.6589809,2.4751101,41.3389809,2.1551101
08629,41.5200506,2.1458214,41.2000506,1.8258214
08395,41.762286,2.7833801,41.442286,2.4633801
08170,41.7121063,2.4210254,41.3921063,2.1010254
08459,41.8231091,2.5509762,41.5031091,2.2309762
08338,41.6606315,2.5189532,41.3406315,2.1989532
25200,41.8321038,1.4316766,41.5121038,1.1116766
08350,41.7412086,2.7074977,41.4212086,2.3874977
08787,41.7032484,1.80955,41.3832484,1.48955
02028,52.2188128,21.0389744,52.2181994,21.037249
08755,41.6404948,2.132272,41.3204948,1.812272
08450,41.7812573,2.5458095,41.4612573,2.2258095
08251,41.9489979,2.0002884,41.6289979,1.6802884
08198,41.6052287,2.2382504,41.2852288,1.9182504
08740,41.6095813,2.1273994,41.2895813,1.8073994
08150,41.7196632,2.3823129,41.3996632,2.0623129
08260,41.9909675,1.9112007,41.6709675,1.5912007
08194,41.6853456,2.1947149,41.3653456,1.8747149
08795,41.5110886,2.0098078,41.1910886,1.6898078
12600,39.9807847,-0.0734566,39.6607847,-0.3934566
08590,41.8829848,2.4347608,41.5629848,2.1147608
08759,41.5410341,2.0859993,41.2210341,1.7659993
17252,42.0053363,3.2588267,41.6853363,2.9388266
08460,41.8496447,2.6169661,41.5296447,2.2969661
08915,41.6224618,2.4061578,41.3024618,2.0861578
17520,42.5920423,2.0888232,42.2720423,1.7688232
08792,41.5350472,1.8826222,41.2150472,1.5626222
83293,42.6924326,-1.4849116,42.6923326,-1.4850116
08209,54.6892797,25.2684865,54.6891797,25.2683865
08420,41.7802714,2.4406094,41.4602714,2.1206094
08262,41.9423229,1.9435946,41.622323,1.6235947
08521,40.3534687,-3.8195768,40.3533687,-3.8196768
08175,40.2985198,-3.8244642,40.2984198,-3.8245642
08261,42.0705563,1.844187,41.7505563,1.524187
08106,41.6793431,2.4133115,41.3593431,2.0933115
08396,41.7809816,2.763962,41.4609816,2.443962
08791,41.6259508,1.9841044,41.3059508,1.6641044
43713,41.4586684,1.7195937,41.1386684,1.3995937
08859,41.4938977,2.0778054,41.1738977,1.7578054
08256,41.8798551,1.9140866,41.5598551,1.5940866
08540,41.9566191,2.3801337,41.6366191,2.0601337
08329,41.6554698,2.4873007,41.3354698,2.1673007
08923,41.6051226,2.3754568,41.2851226,2.0554568
43883,41.3411274,1.6247997,41.0211274,1.3047997
43202,41.3152083,1.2603554,40.9952083,0.9403554
08403,41.7726117,2.4377816,41.4526117,2.1177816
17003,42.125303,2.9815324,41.805303,2.6615324
17217,42.5620594,-2.3560812,42.5619594,-2.3561812
17001,42.1438866,2.9794728,41.8238866,2.6594728
07702,40.0453654,4.4261657,39.7253654,4.1061657
08130,41.6914905,2.3446412,41.3714905,2.0246412
17458,42.0929025,2.967028,41.7729025,2.647028
17800,42.3403718,2.6353615,42.0203718,2.3153615
08193,41.6610642,2.2622721,41.3410642,1.9422721
08691,41.7698733,2.0053059,41.4498733,1.6853059
08272,41.9176825,2.0255874,41.5976825,1.7055874
25001,41.7653008,0.7990035,41.4453008,0.4790035
08360,41.7486156,2.7411273,41.4286156,2.4211273
08195,41.6289778,2.2201545,41.3089778,1.9001545
08490,41.8557043,2.8804649,41.5357043,2.5604649
08589,42.2228187,2.308821,41.9028187,1.988821
25280,42.1545264,1.6780704,41.8345264,1.3580704
08780,41.5817534,2.1554961,41.2617534,1.8354961
45003,40.0273412,-3.8640313,39.7073412,-4.1840313
08812,41.3885233,1.9092277,41.0685233,1.5892277
25560,42.5735544,1.289031,42.2535544,0.969031
08185,41.7477854,2.3951049,41.4277854,2.0751049
00000,14.6630286,-17.4361275,14.6628052,-17.4362995
