,dist,cp-lat,cp-lon,uni-lat,uni-lon,real_dist,co2,time
867,3.023250918606368,41.366179448656645,2.1317926927026933,41.38960859091039,2.1134082704685526,4.451767828398029,0.32990180938414176,0.4270264635837676
868,1.8954947526390036,41.369556013664095,2.128612303797937,41.38367192649365,2.1158767251089436,3.0983212245808085,0.12779838984812636,0.40937511754235384
869,5.388302722927842,41.40680407297159,2.1738038373707966,41.38960859091039,2.1134082704685526,9.682318444277362,0.9677735432340345,0.7424597651396362
870,29.2914065729182,41.63522147406443,2.361880591094171,41.5640438,2.0227191,70.91857836098735,6.372523716206539,1.2303014160850196
872,20.1733109016446,41.27207753636353,1.9254442663542681,41.3842777,2.1152962,34.65659366251529,3.1704236979152536,0.7405500337370342
873,1.2070510953118694,41.38066670760097,2.128939929525482,41.3842777,2.1152962,2.0355336319280077,0.12779838984812636,0.23909054230811588
874,86.98912583108479,41.843360121657206,3.0963895414206046,41.41353344047553,2.2218908797717853,146.66868446895228,13.637807570347581,3.1128358294162197
876,3.855301382194235,41.441959417319104,2.2483668927446825,41.41353344047553,2.2218908797717853,5.522952746991133,0.4322802467872089,0.20679652431605142
877,44.903642546191975,41.69439734628237,2.4579858113210142,41.38408631709384,2.1127257951151166,63.31576168016387,5.81475776024101,1.6184156400218102
878,5.389222045442757,41.41691893986352,2.1640689889784555,41.38862665004671,2.1116058263259307,10.081644995613209,0.8822865780119131,0.9053240232368818
879,10.64656897399484,41.48020225121221,2.0749437387440395,41.38863897597379,2.112282639297175,26.909494274237897,2.3747297733586543,0.9150227265429818
880,2.2916233119948033,41.37072899586288,2.1350485093068143,41.3839393,2.1139678,3.6253006409697326,0.2655881688898457,0.32510099559794764
881,4.630317365409221,41.369723516547886,2.1610542047800516,41.38862665004671,2.1116058263259307,7.598214844559649,0.5180005176365329,0.5343199500393192
882,10.826571726259441,41.321981429858084,2.020088913567787,41.38960859091039,2.1134082704685526,17.893827144173272,1.5902369780336512,0.5271352515300796
883,0.7044281924522815,41.56196696736353,2.030717981766449,41.5640438,2.0227191,,,
884,10.14951205619849,41.43502615291266,2.218979420397612,41.38960859091039,2.1134082704685526,16.999393815324567,1.6725022017406983,1.1640236205013215
885,32.816648764032,41.48196871928351,2.269265392313502,41.27571168805547,1.9879474564334807,47.774690630861556,4.497233912215652,0.8009860937537399
886,32.727306672861545,41.37169957127513,1.7254140655514985,41.5640438,2.0227191,133.87573937094857,11.636282521860252,2.745631531257941
887,0.2930417768667019,41.734511086748235,1.8286224337864627,41.7371279,1.829041,0.630362109491857,0.04837036759842651,0.02302378016770852
888,5.082731024849362,41.26768387183341,1.928074874981014,41.27571168805547,1.9879474564334807,3.744799240014187,0.38735832233010936,0.06757756566584076
889,14.159291928005622,41.468378182808145,2.241233410433205,41.38402502308066,2.1140131777567777,20.661320877020835,1.9855492050588133,1.1404903911609232
890,0.6863441842288571,41.73339057524384,1.8224580633459289,41.7371279,1.829041,0.7090225909642882,0.04837036759842651,0.038755876462194735
891,37.46275634354218,41.22139373578122,1.7248137623229396,41.38960859091039,2.1134082704685526,57.86386219096825,5.341412185480391,1.195704872886269
892,5.397899355867048,41.386592909345914,2.05066794046097,41.3842777,2.1152962,11.064269220940966,1.1007280114342661,0.5620684857740944
893,3.6753864706361514,41.3746346025055,2.152681265290405,41.38960859091039,2.1134082704685526,6.405365572812857,0.481357481044491,0.40468817183864947
894,40.49766701980458,41.39885790191742,2.0094485893717877,41.7371279,1.829041,52.574131937075904,5.009879180111509,1.0816373758699005
896,6.355423603574393,41.507295269852875,2.0318169700299102,41.5640438,2.0227191,10.160043101161936,0.9477529259759123,0.2074890860034533
897,7.225686003193177,41.32003030125151,2.102315212731947,41.3842777,2.1152962,8.744606355141329,0.7423051114059728,0.4092413665076715
898,2.313084931692544,41.384234793927135,2.1387070483453368,41.38862665004671,2.1116058263259307,4.500340743970445,0.24900442024071995,0.5010601820100467
899,11.402208081537902,41.48960373704378,2.143708002188507,41.38960859091039,2.1134082704685526,19.20975551874564,1.7574558982398572,0.6768594195351141
900,26.244909552334992,41.68727005320956,2.2920232341886595,41.5640438,2.0227191,90.19894115740752,7.971474013719937,1.6208322950051146
901,3.9806062750848983,41.36090754553106,2.0774478879900933,41.3839393,2.1139678,5.711986568743733,0.5825800738622183,0.3784814584201272
902,0.8839669824129546,41.56971867474199,2.0301600617571958,41.5640438,2.0227191,3.374510330988641,0.23677411629411582,0.16314500624216507
903,1.315603105481772,41.37279833480946,2.11911446968584,41.3842777,2.1152962,1.4095466630760025,0.0,0.260842529279677
904,1.5157624016024505,41.55311025648947,2.0335988862798415,41.5640438,2.0227191,,,
905,17.27923208109137,41.52562204240935,2.365529061934309,41.41353344047553,2.2218908797717853,25.52408184532205,2.3700715678924884,0.5254686314108267
906,5.841994101227528,41.4289660157073,2.1500614576912,41.3839393,2.1139678,8.851375992164886,0.7488606090200871,0.3992487792170666
907,2.6022526085034436,41.38366221187827,2.1439118078441695,41.38408631709384,2.1127257951151166,4.8714347217345155,0.24900442024071995,0.5618113442054756
908,22.26774636948379,41.40922791149428,2.186748481745016,41.27571168805547,1.9879474564334807,32.56221209764558,2.917830013848573,0.8522788821398579
909,2.2743958836497797,41.384993836443286,2.1411931697595823,41.3839393,2.1139678,4.367966212715389,0.24900442024071995,0.47790731662598784
910,24.5885021180287,41.371582186549134,2.1505931228673156,41.57137629670731,2.024117255134348,42.64857963835011,3.794636391143181,1.1844157574212568
911,3.386597304009723,41.38544349644102,2.154511224070367,41.3839393,2.1139678,6.525474871385106,0.3939874513058879,0.4840693315158093
912,1.6317489420660034,41.371136911967575,2.124001118552661,41.3842777,2.1152962,2.5813033133726684,0.12779838984812636,0.31801958038658035
913,4.615700835661132,41.40808767411803,2.1670215752967588,41.41353344047553,2.2218908797717853,8.519214329061075,0.7797600067560475,0.6730642541363192
914,9.372237049026552,41.390382541376056,2.113843888478059,41.41353344047553,2.2218908797717853,16.12298809584912,1.4645797564084886,1.0140623034784915
915,2.5770318375641685,41.36159189752438,2.1057844821127705,41.3839393,2.1139678,6.38068839040435,0.4194542546634862,0.49438324066643513
916,2.649865181004522,41.38199777628103,2.146911978903444,41.3842777,2.1152962,4.5919151978095405,0.2378213444492946,0.4483589628927921
