lon,lat,cp,n
41.3781894808007,2.12526010172884,"8028","63"
41.3866027036125,2.14637941543514,"8029","37"
41.3755434246862,2.13640673598326,"8014","34"
41.2642777493366,1.93134800349819,"8860","30"
41.3776929538194,2.15790388923611,"8015","30"
41.5642555888889,2.02511772222222,"8222","25"
41.4348411554471,2.1917611953838,"8030","23"
41.4088955532333,2.17094803729792,"8025","22"
41.4111039455607,2.1594220838785,"8024","21"
41.4221011483601,2.18596596553055,"8027","21"
41.3937148247239,2.11784847383178,"8034","21"
41.3607134625498,2.07936848247012,"8940","20"
41.4003499155865,2.17825598359311,"8013","19"
41.3898681672269,2.15175560336134,"8036","19"
41.2235762599338,1.71720477983057,"8800","19"
41.3846227762376,2.04805909455446,"8980","17"
41.3667405393939,2.15795406228956,"8004","15"
41.42075345,2.20185653196262,"8020","15"
41.3996007442786,2.20101841359867,"8005","15"
41.4118225273695,2.18539310266241,"8026","15"
41.373499745283,2.11635557924528,"8904","14"
41.4111765372745,2.1454316,"8023","14"
41.4742246574468,2.07771234468085,"8173","14"
41.403542716347,2.19175281417848,"8018","14"
41.2827691660194,2.01452354271845,"8850","14"
41.7307909322581,1.82563869677419,"8242","14"
41.3147662034483,2.0159679862069,"8840","14"
41.3741013955224,2.08874922537313,"8950","13"
41.5642656271186,2.01156151355932,"8221","13"
41.3805951919944,2.1695578886236,"8001","13"
41.4054879245283,2.13550663679245,"8022","13"
41.4904210682292,2.1386554125,"8290","13"
41.4226392335582,2.1613303767285,"8032","12"
41.3409818222222,2.04281553813281,"8830","12"
41.5755560162791,2.00454753255814,"8225","12"
41.3992587909753,2.16487148733624,"8037","11"
41.3617700431193,2.10426013440367,"8901","11"
41.3843794375,2.1589732145,"8011","11"
41.3689774,2.063031009375,"8970","11"
41.3239362306122,2.09979930586735,"8820","11"
41.3643283857256,2.12528849706582,"8902","11"
41.443633508052,2.24040389480519,"8912","11"
41.3962345965333,2.1414057384,"8021","11"
41.7268030441176,1.83906780294118,"8243","10"
41.5395650356482,2.21356793425926,"8100","10"
41.4010878579899,2.1492115080402,"8006","10"
41.4704716292683,2.08308302804878,"8172","10"
41.3439253272727,1.69352377363636,"8720","10"
41.4281695084758,2.21979427011152,"8930","10"
41.4308066202156,2.16513966037736,"8031","10"
41.4027566808755,2.15691152197195,"8012","9"
41.44582190816,2.17393302264,"8042","9"
41.5349287372881,2.4362616559322,"8302","9"
41.5457931615385,2.11787247692308,"8202","9"
41.3819834004138,2.17641319314943,"8002","9"
41.4998614498747,2.03802923057644,"8191","8"
41.4177947877978,2.17625053436823,"8041","8"
41.5545201158537,2.09142037682927,"8206","8"
41.417336368932,1.91373365825243,"8757","8"
41.4538150605879,2.21116546093672,"8921","8"
41.582786544186,1.61811385581395,"8700","7"
41.5468447405797,2.10615547246377,"8201","7"
41.3866177359593,2.18035126645489,"8003","7"
41.5609018410256,2.00212125897436,"8224","7"
41.4344982571171,2.17955764036036,"8016","7"
41.5327013771429,2.07532518285714,"8192","7"
41.4066278503538,2.11646666910377,"8017","7"
41.5501242736264,2.46268128296703,"8304","6"
41.2601200526099,1.78053515675943,"8810","6"
41.4104130659794,2.20902134020619,"8019","6"
41.6399681232143,2.35839731071429,"8440","6"
41.4307620398981,2.1445116820034,"8035","6"
41.3705595486842,2.10067527412281,"8906","6"
41.7273426116279,1.82150834186046,"8241","6"
41.4829688541887,2.32316622513208,"8320","5"
41.4828129816376,2.18292259320557,"8110","5"
41.5344456017857,1.87013653214286,"8292","5"
41.6129526399371,2.09007894685535,"8211","5"
41.5168319545455,2.12728545227273,"8210","5"
41.3902343406452,2.1653783116129,"8007","5"
41.4110925108108,2.01914862702703,"8750","5"
41.4817616894737,2.26577432105263,"8391","5"
41.2391246449127,1.80826154769509,"8870","5"
41.3717064393939,2.12597180808081,"8903","5"
