,dist,cp-lat,cp-lon,uni-lat,uni-lon,real_dist,co2,time
0,34.5513262048461,41.538112744004415,2.4364798563574137,41.5640438,2.0227191,66.86832786431283,5.582007816034033,1.3600201328358619
1,12.609034938736327,41.49530386556304,2.1424699001183876,41.3839393,2.1139678,16.945415629751892,1.40626788932849,0.6202804975799799
2,54.8471060125527,41.62076457029601,2.6932780817567386,41.3842777,2.1152962,165.15420417693335,14.02297223429029,3.3710700168695023
3,0.859363546127875,41.73111989436457,1.8355554375757388,41.7371279,1.829041,,,
4,27.814789505984944,41.60049659896391,2.2811148216710087,41.3839393,2.1139678,32.56691131842676,2.5804462963766,1.063713301819648
5,4.843224328851083,41.38179850462377,2.168941119163196,41.38862665004671,2.1116058263259307,7.829736404056645,0.48709368312633183,0.5077461179296601
6,1.3795130388034798,41.72616833972581,1.8212501797353593,41.7371279,1.829041,0.5717537541185167,0.04837036759842651,0.012036921139337194
7,21.138464418213356,41.4063180120628,2.1643786536832628,41.5640438,2.0227191,32.765152934886096,2.716208322529937,0.7991306872726768
8,1.5515316817192744,41.56460862045928,2.0413526367300365,41.5640438,2.0227191,5.718700047806882,0.45004928767936625,0.16745649531776477
9,9.189682420321198,41.458293836101944,2.052112148214137,41.38960859091039,2.1134082704685526,21.617285664408772,1.7792345476080624,0.806751366150698
10,22.30338732980334,41.383441788071046,2.1391856459104175,41.5640438,2.0227191,33.95582136240297,2.8093609824770165,0.8118983326590747
11,35.491399817180444,41.34646047336945,1.692008232283065,41.38960859091039,2.1134082704685526,100.85360286078985,8.458361188098934,1.8304088073411688
12,6.042521534879091,41.426722627102954,2.1663316692422496,41.38960859091039,2.1134082704685526,10.95944305144956,0.804443848291406,0.7338949275000461
13,2.845565485999089,41.39223511498132,2.1462355547234484,41.3839393,2.1139678,4.943014551122553,0.24900442024071995,0.6089182661641672
14,2.9865193651826525,41.362961463322,2.1227792183817478,41.38863897597379,2.112282639297175,4.192176687038386,0.38141642602347947,0.35505115104879553
15,7.330385652507968,41.41860557453896,2.190409515371449,41.38367192649365,2.1158767251089436,12.754110906817314,0.9768568875776187,0.4696585622076541
16,27.75354806397378,41.62070274985666,2.2198320001236262,41.38402502308066,2.1140131777567777,35.105489329872626,2.7952099961449206,1.1043305500027818
17,6.892795252406654,41.40903502273722,2.1910542728732985,41.3842777,2.1152962,9.383402221239212,0.9930737258176354,0.6626251306721924
19,2.1098152694470294,41.373253308220896,2.0930727760023964,41.3839393,2.1139678,2.7677214304535758,0.1276338995237376,0.3521253747325772
20,8.407359688869729,41.435621741395394,2.1864926858632985,41.38408631709384,2.1127257951151166,11.306015905273657,0.9302421806003465,1.0508376370068235
21,1.2065117059083994,41.37870165924583,2.1277015342960475,41.3842777,2.1152962,1.5144543110615467,0.12779838984812636,0.13773575199597993
22,39.34430904139465,41.62006126756944,2.096275941175977,41.27587265023666,1.9868189895146127,57.39866131999013,4.832290994888015,1.1259477171320178
23,1.562918843182121,41.372484479130286,2.125487745598171,41.3842777,2.1152962,2.0486851044967658,0.12779838984812636,0.22905725514729935
24,58.51669801910088,41.93943674613716,2.2475837192532957,41.41353344047553,2.2218908797717853,88.30919983588788,7.522019182791755,1.9194919495180098
26,5.121734356388036,41.394141106232695,2.1756647553075177,41.38367192649365,2.1158767251089436,6.881726342668607,0.6457036723355912,0.5642745261364975
27,7.612643336544242,41.41284042596931,2.1982410948882194,41.3842777,2.1152962,10.627977237708487,0.98222582125182,0.8856561696726083
28,7.5654235563381915,41.33804273791404,2.045987905409531,41.38408631709384,2.1127257951151166,9.294570856574335,0.7899151771072503,0.6187254305823379
29,51.61783026692343,41.4924440733298,2.356697275015216,41.7371279,1.829041,91.64063421314609,7.775066149473809,2.192900128823534
30,4.488515849534614,41.390590381578974,2.0578645124737793,41.38862665004671,2.1116058263259307,9.613533526232711,0.7757512921600026,0.62474866764275
31,37.74794519494211,41.37870341096037,2.1326650583406255,41.2222231352044,1.7316575553370623,52.10150539845688,4.347965718952841,1.1663960536222977
32,2.586080495476714,41.40750158822691,2.133214528909445,41.38960859091039,2.1134082704685526,5.090303797472747,0.39820526006489737,0.4926623295764021
33,0.7550933517185165,41.73343967384704,1.836681860925746,41.7371279,1.829041,,,
34,16.278544703160648,41.535161324557166,2.0924647781430394,41.38960859091039,2.1134082704685526,33.65601568194315,2.7977111070914717,1.0601983138882638
35,39.15483057986629,41.49319606920172,2.3570559711448045,41.27571168805547,1.9879474564334807,49.34112759282334,4.174259394352854,0.7894580414851733
36,9489.457032457294,19.433215613424995,-99.19278264876733,41.3839393,2.1139678,,,
37,11.403708824847774,41.458494238432614,2.2078809656501557,41.3839393,2.1139678,15.213095689126273,1.2564072226262752,1.079737807008585
38,10.811367620781086,41.47796270983453,2.0830964558095157,41.5640438,2.0227191,27.985266777993775,2.333800833053177,0.5237215630007551
39,21.960297022270648,41.56801231325564,2.0184562255192944,41.3839393,2.1139678,40.14192637182798,3.275131870357192,1.1997341381192352
40,1.522327307108223,41.37291780918775,2.125479428674179,41.3842777,2.1152962,2.0486851044967658,0.12779838984812636,0.22905725514729935
41,3.6114684720713597,41.37793163060608,2.156506694141625,41.3839393,2.1139678,5.271444707531886,0.2705817496532178,0.43966221242222164
42,31.959004093263655,41.56122917231828,2.0325996542282327,41.27587265023666,1.9868189895146127,60.819637403838875,5.087952835216524,1.2450310763664534
43,26.230004713535884,41.49922381197224,2.392060438027068,41.38960859091039,2.1134082704685526,36.28247718873579,3.043545503349278,0.9271786781412857
